articleid;subarticleid;articlename;external_str_id;ecrlongname;ecrsectionid;sectionname;articlebarcode;unitname;sectiontype;rest;flgbase;subarticlebarcode;flg_disable;flg_disable_name;preparemoment_name;baseprice;ecological_class;articletype;article_type_name;tax_system;tag_1212;tag_1162;tag_1162_name;subarticle_marking;subarticle_marking_name;has_any_bc_marking;has_mrc;isloto;class_path;strpath
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;8;UMCTOG_DataMatrixTobacco;Да;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;1;1004614.1004828.1004839.1004844;Сопутствующий бизнес New/NON-FOOD/Моментальные лотереи/Выплаты ТЛ
;;;;;;;;;;;;;;;;;;;;;8;UMCTOG_DataMatrixTobacco;Да;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;1;1004614.1004828.1004839.1004841;Сопутствующий бизнес New/NON-FOOD/Моментальные лотереи/Выплаты МЛ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;1;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;1;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;0;0;1004614.1004609.200299;Сопутствующий бизнес New/FOOD/Табачные изделия 200299
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;3;UMCTOG_DataMatrixTobacco;Да;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;3;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204.200418;Сопутствующий бизнес New/Cafe/Ингридиенты 200418
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204.200418;Сопутствующий бизнес New/Cafe/Ингридиенты 200418
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004609.100306;Сопутствующий бизнес New/FOOD/Гастроном 100306
